Gourchelles: 197.60664; 5519.92455!
Lascaux: 151.536534; 5032.605912!
Courlange: 434.984691; 5378.368581!
Total Haut: 290.450037; 5028.3!
Les Merolles: 225.476187; 5200.13688!
Les Finardieres: 80.720865; 5338.433667!
Le Puyconnieux: 98.347998; 5067.879048!
Quevreville-la-Poterie: 132.082785; 5478.448512!
Les Rouelles: 58.444497; 5509.939212!
Estal: 205.35; 4985.750037!
Cauvigny: 249.577062; 5472.499467!
Menucourt: 219.830727; 5442.153399!
Les Champs Gras: 398.383884; 5281.102833!
Retourneloup: 394.204956; 5408.366997!
Blanaz: 604.655961; 5097.742044!
Fillols: 267.387123; 4724.266338!
Koeur-la-Petite: 609.969531; 5423.026212!
Blanat: 185.27676; 4973.77902!
Les Roudons: 358.031499; 5287.615869!
Oraison: 656.848716; 4874.686101!
Guinot: 42.559731; 4941.107169!
Chassieu: 551.422803; 5077.390083!
Le Crestet: 516.716766; 4996.617825!
Le Mesnil-Robert: -106.110339; 5425.072497!
